CustomerID,Age,Gender,Location,TenureMonths,MonthlyCharges,TotalCharges,ContractType,InternetService,TechSupport,OnlineBackup,DeviceProtection,SatisfactionScore,SupportTickets,Churn
24,23,F,Central,29,42.93,1244.92,1 year,Fiber optic,No,No,No,5,1,0
25,36,M,North,6,54.49,326.95,Month-to-month,No,No,No,No,3,0,0
26,46,F,North,37,68.54,2535.97,2 year,Fiber optic,Yes,Yes,No,1,2,1
27,27,M,West,10,42.69,426.95,Month-to-month,DSL,No,Yes,No,2,1,0
28,50,F,Central,16,64.35,1029.67,Month-to-month,Fiber optic,No,No,No,4,1,0
29,35,M,East,57,56.36,3212.32,Month-to-month,DSL,No,No,No,3,3,1
30,40,M,West,23,88.16,2027.65,Month-to-month,Fiber optic,No,No,No,5,2,1
31,35,F,North,21,55.32,1161.81,Month-to-month,No,Yes,No,No,1,4,1
32,72,M,East,25,65.57,1639.17,2 year,Fiber optic,Yes,No,No,1,0,0
33,44,F,South,51,68.33,3484.66,Month-to-month,Fiber optic,No,Yes,Yes,2,2,1
34,29,M,South,6,56.61,339.63,Month-to-month,No,No,Yes,No,1,1,1
35,57,M,West,19,80.39,1527.49,1 year,Fiber optic,Yes,No,No,3,3,0
36,26,M,East,11,84.55,930.07,Month-to-month,No,No,Yes,No,2,1,0
37,48,F,Central,1,55.22,55.22,2 year,No,No,No,No,2,2,0
38,18,F,East,3,70.86,212.59,2 year,DSL,No,No,No,2,2,0
39,25,F,West,8,46.45,371.6,Month-to-month,Fiber optic,No,Yes,No,3,1,0
40,47,F,Central,17,76.28,1296.69,1 year,Fiber optic,No,Yes,No,4,1,0
41,56,F,Central,43,69.66,2995.23,Month-to-month,Fiber optic,Yes,Yes,No,1,3,0
42,47,M,South,32,57.72,1847.08,1 year,Fiber optic,No,Yes,No,1,2,1
43,43,M,East,17,71.6,1217.18,Month-to-month,Fiber optic,No,No,No,4,1,0
44,40,F,Central,2,76.86,153.71,Month-to-month,No,No,Yes,No,2,2,1
45,22,M,West,7,89.61,627.25,Month-to-month,DSL,No,Yes,Yes,5,1,0
46,34,M,South,10,72.95,729.5,1 year,Fiber optic,Yes,No,No,3,1,0
47,38,M,Central,20,82.77,1655.36,Month-to-month,Fiber optic,Yes,No,Yes,2,2,0
48,60,M,East,2,103.1,206.19,Month-to-month,DSL,No,No,Yes,2,0,1
49,50,F,South,16,44.32,709.13,2 year,Fiber optic,No,No,No,2,4,1
50,18,M,East,47,88.43,4156.04,Month-to-month,No,Yes,No,No,1,4,1
51,49,F,East,25,47.42,1185.43,1 year,Fiber optic,No,Yes,No,1,1,1
52,39,F,East,32,50.73,1623.39,Month-to-month,No,No,No,No,5,3,1
53,34,M,South,23,64.76,1489.57,2 year,DSL,No,No,Yes,3,0,0
54,54,F,Central,5,52.08,260.4,Month-to-month,No,No,No,Yes,2,1,1
55,60,M,North,3,48.74,146.21,Month-to-month,Fiber optic,No,Yes,Yes,1,1,1
56,58,M,Central,36,63.79,2296.51,1 year,Fiber optic,Yes,No,No,4,3,0
57,32,M,South,24,58.34,1400.04,2 year,DSL,No,Yes,No,1,2,1
58,40,F,North,18,51.69,930.49,2 year,No,Yes,Yes,No,2,0,0
59,49,F,North,5,45.95,229.74,Month-to-month,DSL,No,No,No,2,0,1
60,59,F,North,19,93.5,1776.56,2 year,DSL,No,No,Yes,1,4,0
61,37,M,West,1,41.0,41.0,1 year,Fiber optic,Yes,Yes,Yes,4,1,0
62,42,M,South,3,61.65,184.94,2 year,Fiber optic,Yes,No,No,4,1,0
63,28,M,West,8,87.36,698.87,2 year,Fiber optic,Yes,No,No,2,0,0
64,27,F,North,12,81.19,974.29,1 year,DSL,No,No,No,1,2,0
65,57,M,West,3,69.67,209.02,1 year,Fiber optic,Yes,No,Yes,3,1,0
66,65,M,West,3,52.53,157.58,1 year,Fiber optic,Yes,No,Yes,3,4,0
67,43,F,South,26,64.62,1680.25,1 year,DSL,No,No,Yes,2,1,0
68,60,F,East,17,42.52,722.82,Month-to-month,No,Yes,No,No,4,2,0
69,50,F,West,16,59.3,948.76,Month-to-month,DSL,No,Yes,No,3,2,1
70,35,M,West,13,58.99,766.93,Month-to-month,DSL,No,Yes,No,1,0,0
71,50,M,North,76,60.93,4630.37,2 year,No,No,Yes,No,5,3,0
72,68,M,North,2,49.24,98.48,Month-to-month,Fiber optic,Yes,No,No,5,1,1
73,44,F,North,4,31.08,124.33,Month-to-month,Fiber optic,No,No,No,4,3,1
74,68,F,Central,21,90.04,1890.78,Month-to-month,DSL,No,No,Yes,5,3,0
75,18,F,West,3,85.6,256.79,1 year,DSL,No,Yes,Yes,1,2,1
76,57,F,North,18,82.49,1484.88,2 year,DSL,No,No,Yes,2,2,1
77,46,M,South,17,72.57,1233.66,1 year,Fiber optic,No,No,No,2,4,0
78,40,M,Central,71,68.41,4856.91,Month-to-month,DSL,No,No,No,1,6,1
79,46,M,East,43,51.13,2198.43,2 year,DSL,Yes,No,No,2,2,0
80,18,M,West,59,53.26,3142.54,Month-to-month,Fiber optic,No,No,Yes,1,3,1
81,41,M,West,3,94.11,282.32,2 year,DSL,No,No,No,1,0,1
82,50,M,South,41,98.66,4044.98,Month-to-month,Fiber optic,No,No,No,5,0,0
83,67,M,East,3,61.3,183.91,2 year,No,No,No,Yes,5,1,1
84,37,M,East,21,65.08,1366.58,Month-to-month,No,Yes,No,No,4,3,0
85,32,F,Central,26,79.65,2070.81,2 year,No,Yes,Yes,No,5,2,0
86,37,F,West,4,66.87,267.48,Month-to-month,No,Yes,Yes,No,2,3,1
87,58,M,North,21,68.38,1435.99,Month-to-month,Fiber optic,Yes,No,Yes,5,1,0
88,49,F,South,2,63.8,127.61,2 year,No,No,No,Yes,1,4,0
89,37,M,South,7,46.24,323.7,Month-to-month,DSL,No,No,Yes,5,4,1
90,52,M,South,51,57.54,2934.53,2 year,DSL,No,No,No,2,1,1
91,46,F,South,4,62.33,249.31,1 year,Fiber optic,No,Yes,No,4,0,0
92,59,M,North,2,20.0,40.0,1 year,No,Yes,No,No,3,3,0
93,34,M,North,12,66.75,801.0,Month-to-month,Fiber optic,No,Yes,No,1,2,0
94,40,M,Central,39,111.45,4346.6,2 year,Fiber optic,No,Yes,No,2,0,1
95,39,M,West,2,56.41,112.83,2 year,No,No,No,No,2,2,1
96,23,M,North,9,65.66,590.96,Month-to-month,DSL,Yes,No,No,3,4,0
97,49,M,Central,47,48.19,2264.94,Month-to-month,DSL,Yes,No,No,4,5,0
98,48,M,East,3,43.12,129.37,Month-to-month,DSL,Yes,No,No,1,5,1
99,45,F,West,8,58.8,470.39,Month-to-month,Fiber optic,No,No,No,4,4,0
100,41,F,North,31,77.6,2405.47,1 year,DSL,Yes,Yes,No,3,2,0
101,23,M,East,16,60.32,965.2,2 year,Fiber optic,No,No,Yes,1,4,0
102,38,F,Central,36,57.52,2070.66,2 year,No,No,Yes,No,5,1,0
103,39,M,North,3,74.91,224.74,2 year,DSL,No,Yes,No,4,2,1
104,32,M,North,51,69.0,3519.1,Month-to-month,No,No,No,No,5,3,0
105,42,M,East,55,70.59,3882.2,Month-to-month,DSL,No,No,No,1,1,1
106,51,M,North,4,88.81,355.22,2 year,DSL,No,No,No,3,1,0
107,73,F,South,1,86.29,86.29,2 year,DSL,Yes,Yes,No,5,2,0
108,47,F,North,92,94.91,8732.16,1 year,Fiber optic,No,Yes,No,5,3,0
109,48,F,West,14,40.74,570.41,Month-to-month,Fiber optic,No,Yes,No,2,0,1
110,43,F,East,17,82.15,1396.47,1 year,No,No,Yes,Yes,1,4,0
111,18,M,West,20,97.92,1958.33,Month-to-month,Fiber optic,No,Yes,No,3,1,0
112,44,F,Central,32,32.35,1035.1,Month-to-month,DSL,No,No,No,2,3,1
113,45,M,West,34,64.6,2196.34,1 year,Fiber optic,No,Yes,No,4,2,0
114,80,M,South,5,54.13,270.67,Month-to-month,Fiber optic,No,Yes,No,3,1,1
115,42,F,South,6,64.51,387.08,2 year,DSL,Yes,No,No,2,1,0
116,49,M,West,42,87.94,3693.46,Month-to-month,No,Yes,No,No,4,2,0
117,44,F,Central,35,37.09,1297.99,1 year,DSL,Yes,Yes,No,3,2,0
118,27,F,North,20,69.9,1398.0,2 year,Fiber optic,No,No,No,2,3,0
119,62,F,South,105,53.71,5639.31,Month-to-month,Fiber optic,No,No,No,3,1,0
120,56,F,West,27,88.55,2390.93,2 year,No,No,No,Yes,5,5,0
121,56,F,West,5,73.42,367.09,1 year,DSL,Yes,No,No,2,1,1
122,31,M,West,38,61.85,2350.11,2 year,No,Yes,No,No,5,2,0
123,66,F,North,11,50.64,557.01,Month-to-month,Fiber optic,Yes,No,No,2,7,1
124,23,F,East,1,118.16,118.16,Month-to-month,No,Yes,No,No,5,4,1
125,53,M,Central,8,70.6,564.78,Month-to-month,No,Yes,No,No,1,3,1
126,77,F,East,29,36.6,1061.43,2 year,No,No,No,No,5,1,0
127,30,F,Central,65,48.79,3171.04,Month-to-month,Fiber optic,No,No,No,1,0,0
128,36,M,Central,7,73.25,512.77,Month-to-month,DSL,No,No,Yes,3,1,0
129,46,M,West,6,50.4,302.4,Month-to-month,DSL,Yes,No,No,4,2,0
130,37,F,South,17,52.86,898.62,Month-to-month,DSL,No,No,Yes,4,1,0
131,21,M,West,34,84.72,2880.43,1 year,DSL,No,Yes,No,4,2,0
132,46,F,North,28,82.95,2322.55,Month-to-month,DSL,No,No,No,1,3,1
133,29,M,Central,17,53.58,910.79,Month-to-month,No,No,No,No,4,1,1
134,52,F,South,20,88.42,1768.34,Month-to-month,DSL,No,No,No,4,2,1
135,31,F,Central,6,50.79,304.73,1 year,DSL,No,Yes,No,5,3,0
136,68,F,Central,12,98.87,1186.45,2 year,DSL,No,No,No,4,0,0
137,33,M,West,6,75.75,454.51,1 year,DSL,No,No,No,1,1,0
138,40,F,South,44,70.8,3115.36,Month-to-month,Fiber optic,Yes,No,No,5,0,1
139,57,M,South,3,57.3,171.91,Month-to-month,Fiber optic,Yes,No,No,1,6,1
140,26,F,Central,23,52.83,1215.02,Month-to-month,No,No,No,No,2,1,1
141,48,F,South,7,20.0,140.0,1 year,Fiber optic,No,No,No,4,2,0
142,64,F,South,13,59.12,768.52,Month-to-month,No,No,No,No,1,3,0
143,20,F,West,8,64.79,518.32,2 year,No,No,No,No,1,0,1
144,47,F,East,8,28.48,227.82,2 year,DSL,No,No,No,5,3,0
145,48,M,North,7,81.47,570.27,Month-to-month,No,Yes,No,Yes,2,2,1
146,56,M,East,28,61.79,1730.19,Month-to-month,DSL,Yes,No,No,2,2,1
147,26,M,South,10,89.29,892.94,Month-to-month,Fiber optic,No,No,No,4,2,0
148,25,F,Central,26,51.33,1334.5,Month-to-month,Fiber optic,No,Yes,No,3,1,0
149,52,F,North,13,89.73,1166.47,1 year,No,No,No,No,3,0,0
150,49,M,North,16,56.02,896.31,2 year,No,No,No,No,5,4,0
151,48,F,Central,16,63.99,1023.91,Month-to-month,DSL,No,No,No,4,2,0
152,50,F,North,75,69.31,5198.42,2 year,Fiber optic,No,No,Yes,5,4,1
153,34,F,Central,10,64.17,641.67,1 year,Fiber optic,Yes,No,Yes,4,3,0
154,48,M,North,5,71.09,355.44,2 year,DSL,Yes,No,No,2,5,0
155,49,M,East,49,26.51,1298.94,1 year,DSL,No,Yes,No,3,2,1
156,34,M,North,4,62.21,248.85,1 year,DSL,No,Yes,Yes,1,3,1
157,72,M,West,36,63.39,2282.1,Month-to-month,No,No,Yes,No,3,3,0
158,52,M,Central,4,25.27,101.08,2 year,DSL,Yes,Yes,Yes,4,4,0
159,27,F,North,22,77.85,1712.69,Month-to-month,Fiber optic,No,No,No,3,1,0
160,54,F,Central,4,46.77,187.09,1 year,Fiber optic,No,No,Yes,1,4,0
161,30,F,West,52,83.85,4360.02,Month-to-month,No,No,No,No,2,2,0
162,56,F,North,17,66.72,1134.22,Month-to-month,DSL,No,No,No,2,1,1
163,62,M,North,8,53.51,428.11,Month-to-month,Fiber optic,No,No,No,4,2,1
164,32,M,West,4,85.09,340.38,Month-to-month,Fiber optic,No,Yes,No,3,2,0
165,59,F,West,10,98.24,982.37,Month-to-month,No,No,Yes,Yes,4,4,0
166,51,M,West,25,65.77,1644.25,2 year,Fiber optic,No,No,No,3,3,0
167,57,F,Central,10,92.5,924.98,Month-to-month,DSL,No,Yes,No,5,3,0
168,73,F,West,6,61.48,368.86,2 year,DSL,No,No,Yes,4,0,0
169,41,F,Central,18,84.25,1516.44,Month-to-month,Fiber optic,Yes,Yes,No,3,2,1
170,33,F,East,11,57.65,634.16,Month-to-month,DSL,No,No,No,5,1,0
171,31,M,North,4,101.52,406.07,Month-to-month,Fiber optic,No,No,No,4,0,0
172,32,F,North,4,86.55,346.18,Month-to-month,Fiber optic,Yes,No,No,2,2,1
173,43,M,South,25,74.41,1860.17,Month-to-month,Fiber optic,No,Yes,No,5,2,0
174,50,F,East,74,20.0,1480.0,Month-to-month,DSL,No,Yes,No,4,1,1
175,49,F,West,6,73.98,443.86,Month-to-month,No,No,No,Yes,1,3,1
176,57,F,West,30,40.3,1209.04,2 year,Fiber optic,Yes,No,No,2,1,1
177,45,F,East,2,72.07,144.13,Month-to-month,No,Yes,Yes,No,5,2,0
178,66,M,West,10,90.55,905.5,2 year,Fiber optic,Yes,Yes,No,3,2,0
179,41,F,South,15,78.78,1181.7,2 year,DSL,Yes,Yes,No,1,0,1
180,80,M,Central,7,82.17,575.22,1 year,DSL,No,No,No,3,2,0
181,54,F,North,16,57.54,920.63,2 year,DSL,Yes,No,No,1,2,0
182,32,F,East,43,34.51,1483.84,Month-to-month,Fiber optic,No,Yes,No,4,4,0
183,28,F,North,58,49.57,2875.12,2 year,Fiber optic,Yes,No,No,4,1,0
184,52,M,Central,3,58.41,175.22,Month-to-month,DSL,No,No,Yes,3,2,1
185,41,F,East,7,64.72,453.03,Month-to-month,Fiber optic,Yes,No,No,3,1,0
186,55,F,Central,78,90.38,7049.84,1 year,No,No,No,No,3,0,0
187,52,F,West,7,79.61,557.28,2 year,Fiber optic,Yes,Yes,No,5,1,0
188,43,F,West,24,109.39,2625.47,2 year,DSL,No,No,No,2,2,0
189,32,F,West,6,44.97,269.85,Month-to-month,DSL,Yes,No,Yes,3,0,0
190,22,M,Central,9,88.28,794.51,Month-to-month,DSL,No,No,Yes,4,2,1
191,38,M,Central,5,82.51,412.54,2 year,No,No,No,No,4,0,1
192,57,F,Central,39,62.67,2444.08,1 year,DSL,No,Yes,No,3,3,0
193,48,F,North,43,45.78,1968.57,Month-to-month,Fiber optic,Yes,No,No,3,2,0
194,26,M,Central,8,52.69,421.52,Month-to-month,No,Yes,No,No,4,3,0
195,47,F,West,35,51.73,1810.51,2 year,Fiber optic,Yes,No,No,5,3,0
196,50,M,South,9,99.21,892.92,1 year,DSL,No,No,Yes,1,1,0
197,31,F,Central,3,81.57,244.7,Month-to-month,No,Yes,Yes,No,4,3,1
198,47,F,South,29,82.31,2387.08,1 year,Fiber optic,Yes,Yes,No,1,1,0
199,45,M,West,19,66.75,1268.32,1 year,DSL,No,No,Yes,3,2,0
200,27,F,Central,7,60.42,422.97,2 year,Fiber optic,Yes,Yes,No,2,0,1
201,50,M,North,6,71.75,430.48,1 year,No,No,No,No,3,4,1
202,53,M,North,75,67.05,5028.7,Month-to-month,DSL,Yes,No,No,3,3,0
203,61,M,South,40,63.08,2523.18,2 year,Fiber optic,No,Yes,No,3,4,0
204,60,F,North,34,72.33,2459.35,Month-to-month,Fiber optic,No,No,No,4,2,0
205,24,M,North,3,43.68,131.05,2 year,DSL,Yes,Yes,No,4,0,0
206,30,M,North,29,70.34,2039.87,1 year,Fiber optic,Yes,No,No,2,5,1
207,52,F,West,5,62.78,313.92,2 year,Fiber optic,No,Yes,No,1,1,1
208,52,F,North,76,50.71,3853.78,Month-to-month,DSL,No,Yes,No,1,3,1
209,52,F,East,2,77.81,155.63,1 year,DSL,No,No,No,1,1,1
210,80,F,Central,9,100.9,908.13,2 year,Fiber optic,No,No,No,3,2,0
211,53,F,North,12,90.56,1086.74,1 year,Fiber optic,Yes,Yes,No,2,2,0
212,62,F,North,35,59.35,2077.17,Month-to-month,No,No,Yes,Yes,3,4,1
213,59,M,North,30,78.29,2348.64,Month-to-month,Fiber optic,No,No,No,2,2,1
214,54,F,East,10,81.87,818.68,1 year,DSL,No,No,No,5,3,0
215,40,M,North,17,67.38,1145.52,Month-to-month,DSL,No,No,Yes,4,1,1
216,56,F,North,37,64.52,2387.24,1 year,Fiber optic,No,Yes,Yes,3,1,0
217,33,M,Central,1,71.88,71.88,Month-to-month,DSL,No,No,No,5,3,1
218,41,M,East,33,115.25,3803.3,2 year,DSL,No,Yes,Yes,1,3,0
219,37,F,East,59,70.15,4138.63,Month-to-month,DSL,Yes,Yes,No,5,3,1
220,46,F,North,1,39.65,39.65,Month-to-month,DSL,Yes,No,No,4,3,0
221,79,M,East,1,44.07,44.07,Month-to-month,No,Yes,No,No,4,3,1
222,18,F,South,9,61.58,554.19,1 year,DSL,No,No,Yes,4,0,0
223,55,F,East,2,40.06,80.12,1 year,Fiber optic,No,No,No,5,0,1
224,20,M,East,14,62.35,872.9,1 year,Fiber optic,No,No,No,1,1,0
225,37,M,East,27,109.5,2956.61,2 year,Fiber optic,Yes,Yes,No,3,1,0
226,61,M,West,17,54.77,931.11,Month-to-month,No,Yes,No,Yes,1,0,1
227,45,F,West,5,43.25,216.27,2 year,No,Yes,No,Yes,2,0,1
228,28,F,West,22,60.85,1338.67,2 year,Fiber optic,No,Yes,No,2,0,0
229,34,F,East,24,62.92,1510.1,Month-to-month,DSL,No,No,No,3,1,1
230,55,F,South,54,45.22,2442.07,2 year,Fiber optic,No,No,Yes,4,2,0
231,34,M,East,4,40.23,160.93,1 year,No,No,No,No,3,0,0
232,48,F,North,24,92.13,2211.0,1 year,Fiber optic,No,No,No,5,1,0
233,45,M,South,49,75.02,3675.75,1 year,DSL,No,Yes,No,4,2,0
234,35,F,West,14,55.35,774.83,2 year,Fiber optic,No,Yes,No,3,0,0
235,77,F,Central,9,41.89,377.03,2 year,Fiber optic,No,Yes,No,3,4,0
236,54,M,South,4,54.65,218.6,1 year,Fiber optic,No,No,No,5,2,1
237,18,F,West,41,40.48,1659.65,Month-to-month,DSL,No,No,Yes,5,3,1
238,47,F,South,11,53.41,587.51,1 year,DSL,Yes,No,Yes,1,0,0
239,35,M,South,52,106.34,5529.58,Month-to-month,Fiber optic,No,Yes,Yes,2,0,0
240,57,F,East,38,69.78,2651.53,1 year,Fiber optic,Yes,No,No,3,0,0
241,33,M,North,10,52.64,526.4,2 year,DSL,Yes,No,No,1,1,1
242,43,M,Central,18,78.59,1414.63,Month-to-month,No,Yes,No,Yes,4,0,0
243,52,M,West,1,46.4,46.4,Month-to-month,DSL,No,Yes,No,4,1,1
244,57,M,South,7,56.89,398.21,1 year,DSL,No,No,Yes,2,1,0
245,26,F,Central,25,27.92,697.91,Month-to-month,Fiber optic,No,No,Yes,4,2,1
246,39,F,South,23,90.48,2081.07,Month-to-month,DSL,No,Yes,No,2,5,0
247,37,F,North,9,60.97,548.69,1 year,DSL,Yes,No,Yes,4,3,0
248,35,M,Central,34,48.62,1653.24,2 year,Fiber optic,No,No,No,4,0,0
249,71,F,West,6,77.99,467.94,1 year,DSL,No,No,No,3,3,0
250,51,F,South,13,44.05,572.59,Month-to-month,Fiber optic,Yes,No,No,5,1,0
251,26,F,North,13,45.26,588.4,1 year,Fiber optic,No,No,Yes,3,0,0
252,58,F,Central,9,57.42,516.77,Month-to-month,Fiber optic,No,Yes,Yes,1,2,1
253,76,M,South,62,41.05,2545.08,2 year,Fiber optic,No,Yes,No,5,0,0
254,60,M,South,24,51.93,1246.34,1 year,Fiber optic,No,No,Yes,3,3,1
255,22,F,West,16,61.04,976.59,2 year,DSL,No,No,Yes,5,1,0
256,37,M,North,15,62.84,942.64,2 year,DSL,Yes,No,Yes,5,3,0
257,64,F,East,4,38.51,154.03,Month-to-month,No,No,No,No,5,2,1
258,34,F,South,10,60.11,601.13,2 year,Fiber optic,No,No,Yes,4,1,0
259,51,F,Central,23,76.61,1762.11,2 year,Fiber optic,Yes,No,No,5,2,0
260,56,M,West,52,79.95,4157.33,1 year,No,No,Yes,Yes,4,5,0
261,31,F,West,34,55.05,1871.68,Month-to-month,DSL,No,No,Yes,5,2,0
262,44,M,South,8,61.22,489.79,2 year,No,Yes,Yes,No,4,3,0
263,18,M,South,12,60.04,720.52,Month-to-month,DSL,No,No,Yes,5,0,0
264,29,F,South,2,37.17,74.33,1 year,DSL,No,Yes,No,1,0,1
265,41,M,East,3,54.2,162.59,Month-to-month,Fiber optic,Yes,No,No,3,1,0
266,26,M,South,13,80.92,1052.02,1 year,No,No,No,Yes,5,1,0
267,69,F,North,16,81.24,1299.88,2 year,Fiber optic,No,Yes,No,1,4,1
268,23,M,Central,7,73.24,512.66,Month-to-month,Fiber optic,Yes,No,No,3,1,1
269,38,M,South,21,20.0,420.0,2 year,DSL,No,No,No,2,4,1
270,46,F,East,25,49.37,1234.24,Month-to-month,DSL,No,No,No,5,1,0
271,66,F,Central,8,74.35,594.82,1 year,No,No,No,Yes,2,2,0
272,23,M,West,29,99.25,2878.19,1 year,Fiber optic,No,Yes,No,3,3,0
273,62,F,South,5,64.71,323.54,Month-to-month,DSL,No,Yes,No,3,1,1
274,45,F,Central,16,66.92,1070.68,1 year,DSL,No,Yes,No,5,4,0
275,30,M,West,33,62.74,2070.32,2 year,Fiber optic,No,No,No,1,0,0
276,51,M,East,16,38.87,621.91,Month-to-month,DSL,No,No,No,5,1,0
277,47,F,North,48,72.04,3457.85,1 year,DSL,No,No,Yes,1,3,0
278,35,M,South,2,34.57,69.15,1 year,DSL,Yes,No,Yes,5,1,0
279,46,F,North,18,63.3,1139.31,Month-to-month,No,Yes,No,No,1,3,1
280,39,F,East,17,66.78,1135.28,2 year,DSL,No,No,No,4,4,0
281,46,M,Central,22,65.99,1451.69,1 year,No,No,No,No,1,4,1
282,54,M,Central,36,39.03,1405.15,Month-to-month,No,No,No,No,1,3,0
283,68,F,East,26,50.82,1321.31,Month-to-month,DSL,No,Yes,Yes,3,0,0
284,26,F,East,32,78.77,2520.79,Month-to-month,No,No,Yes,No,2,4,1
285,76,F,South,7,66.46,465.2,1 year,Fiber optic,Yes,Yes,No,5,1,0
286,18,F,West,10,50.95,509.51,1 year,No,Yes,Yes,No,3,0,0
287,42,M,North,20,43.58,871.55,1 year,Fiber optic,No,Yes,No,2,0,1
288,53,F,North,17,81.06,1377.96,2 year,No,No,No,No,3,0,0
289,49,M,Central,65,65.69,4269.67,Month-to-month,DSL,No,Yes,No,3,3,0
290,35,M,Central,5,42.38,211.92,1 year,No,No,No,No,5,1,0
291,41,F,South,9,61.23,551.04,2 year,No,No,No,No,4,1,0
292,37,M,East,18,48.88,879.8,2 year,DSL,Yes,No,No,3,1,0
293,36,M,North,41,71.03,2912.13,Month-to-month,DSL,No,Yes,No,5,2,0
294,57,F,South,53,90.07,4773.84,1 year,No,Yes,No,Yes,1,1,0
295,50,M,Central,9,43.38,390.45,Month-to-month,Fiber optic,Yes,No,No,2,1,1
296,34,M,Central,2,68.14,136.29,Month-to-month,Fiber optic,No,Yes,No,5,0,0
297,58,F,North,11,67.78,745.58,2 year,DSL,No,No,No,4,2,0
298,49,F,Central,11,22.11,243.2,Month-to-month,DSL,Yes,No,No,5,2,0
299,57,F,Central,87,81.65,7103.75,Month-to-month,Fiber optic,Yes,Yes,No,5,1,0
300,54,F,West,12,106.98,1283.75,2 year,Fiber optic,Yes,Yes,No,1,1,0
301,32,F,East,8,67.76,542.09,2 year,Fiber optic,Yes,No,No,2,2,1
302,36,F,Central,10,92.19,921.92,2 year,Fiber optic,No,No,No,2,2,1
303,56,F,West,11,39.91,439.0,1 year,Fiber optic,No,No,No,4,3,0
304,54,M,South,35,50.62,1771.87,Month-to-month,Fiber optic,No,No,Yes,2,5,1
305,44,M,Central,2,66.42,132.85,Month-to-month,Fiber optic,Yes,No,No,1,1,1
306,46,F,South,8,47.93,383.41,2 year,DSL,Yes,No,No,4,4,0
307,64,M,Central,68,65.76,4471.81,2 year,Fiber optic,No,No,No,1,5,1
308,36,M,North,4,85.07,340.27,2 year,No,No,Yes,No,1,2,1
309,53,F,West,28,47.34,1325.48,2 year,DSL,No,Yes,No,5,2,0
310,41,M,West,9,85.95,773.55,Month-to-month,Fiber optic,Yes,Yes,No,5,3,0
311,41,F,North,18,26.53,477.61,Month-to-month,Fiber optic,No,Yes,No,5,3,0
312,61,M,East,3,53.62,160.87,Month-to-month,DSL,Yes,No,No,3,4,1
313,57,F,West,8,61.06,488.49,2 year,Fiber optic,Yes,No,No,1,3,0
314,57,M,South,14,46.46,650.45,Month-to-month,No,Yes,No,No,2,1,1
315,64,M,West,6,53.9,323.42,1 year,DSL,No,No,No,4,5,0
316,45,M,East,16,92.92,1486.77,Month-to-month,DSL,No,No,No,3,2,0
317,55,F,South,5,89.8,448.99,1 year,No,Yes,No,No,5,1,0
318,40,M,South,22,79.4,1746.82,2 year,DSL,No,No,No,3,3,0
319,49,M,North,47,85.82,4033.74,1 year,No,No,No,No,3,0,1
320,43,F,Central,2,52.59,105.19,2 year,No,Yes,No,No,1,0,1
321,46,F,North,5,40.54,202.72,1 year,No,No,No,No,1,5,1
322,53,M,Central,38,48.85,1856.22,Month-to-month,No,No,Yes,No,2,0,1
323,32,M,North,20,51.82,1036.39,Month-to-month,Fiber optic,No,No,No,4,5,1
324,76,M,Central,2,52.81,105.62,2 year,Fiber optic,No,No,No,4,5,1
